Transect,Quadrat,Depth,Velocity,BR,BO,CO,PE,GV,SD,SL,Time,per_BR,per_BO,per_CO,per_PE,per_GV,per_SD,per_SL,coarseness,Date,Count
1,1,3.5,0.2,0,0,0,25,0,0,0,24,0,0,0,1,0,0,0,4,6/27/2021,6
1,2,3,0.07,0,0,0,25,0,0,0,24,0,0,0,1,0,0,0,4,6/27/2021,3
1,3,2.5,0.02,0,0,0,17,0,0,8,24,0,0,0,0.68,0,0,0.32,3.04,6/27/2021,11
2,1,5,0.02,0,0,1,0,0,0,24,12.5,0,0,0.04,0,0,0,0.96,1.16,NA,0
2,2,7,0.05,0,0,0,4,0,0,21,12.5,0,0,0,0.16,0,0,0.84,1.48,6/27/2021,1
2,3,14.5,0.06,0,0,0,0,0,0,25,12.5,0,0,0,0,0,0,1,1,6/27/2021,3
3,1,7,0.01,0,0,0,21,0,0,4,15,0,0,0,0.84,0,0,0.16,3.52,6/27/2021,1
3,2,14,0.11,0,0,0,18,0,7,0,15,0,0,0,0.72,0,0.28,0,3.44,6/27/2021,4
3,3,21,0.01,0,0,0,0,0,0,25,15,0,0,0,0,0,0,1,1,NA,0
4,1,9,0.02,0,0,0,8,0,1,16,25,0,0,0,0.32,0,0.04,0.64,2,6/27/2021,4
4,2,12.5,0.06,0,0,10,15,0,0,0,25,0,0,0.4,0.6,0,0,0,4.4,6/27/2021,6
4,3,5,0,0,0,12,7,0,0,6,25,0,0,0.48,0.28,0,0,0.24,3.76,6/27/2021,22
5,1,18.5,0.02,2,5,4,6,0,8,0,18,0.08,0.2,0.16,0.24,0,0.32,0,4.16,6/27/2021,1
5,2,9,0.08,0,6,14,5,0,0,0,18,0,0.24,0.56,0.2,0,0,0,5.040000000000001,6/27/2021,5
5,3,7,0.23,0,0,20,5,0,0,0,18,0,0,0.8,0.2,0,0,0,4.8,6/27/2021,11
6,1,8.5,0.12,24,0,0,1,0,0,0,9,0.96,0,0,0.04,0,0,0,6.88,6/27/2021,2
6,2,7.1,0.09,9,0,10,5,0,1,0,9,0.36,0,0.4,0.2,0,0.04,0,5.4,6/27/2021,1
6,3,10.5,0,4,0,9,5,0,7,0,9,0.16,0,0.36,0.2,0,0.28,0,4.28,NA,0
7,1,10.4,0.1,18,0,4,1,0,2,0,14,0.72,0,0.16,0.04,0,0.08,0,6.16,6/27/2021,6
7,2,7,0.03,0,0,8,11,0,6,0,14,0,0,0.32,0.44,0,0.24,0,3.8400000000000003,6/27/2021,4
7,3,4,0.05,0,0,10,10,0,5,0,14,0,0,0.4,0.4,0,0.2,0,4,NA,0
8,1,6.5,0.23,20,0,2,2,0,1,0,10,0.8,0,0.08,0.08,0,0.04,0,6.4,6/27/2021,3
8,2,9.7,0.06,0,0,12,12,0,1,0,10,0,0,0.48,0.48,0,0.04,0,4.4,6/27/2021,3
8,3,7.8,0.09,0,0,16,3,0,0,6,10,0,0,0.64,0.12,0,0,0.24,3.92,6/27/2021,7
9,1,8,0.04,11,0,6,7,1,0,0,14,0.44,0,0.24,0.28,0.04,0,0,5.5200000000000005,6/28/2021,6
9,2,9,0.15,0,0,17,6,2,0,0,14,0,0,0.68,0.24,0.08,0,0,4.6000000000000005,6/28/2021,3
9,3,4,0.31,0,0,8,6,6,5,0,14,0,0,0.32,0.24,0.24,0.2,0,3.68,6/28/2021,9
10,1,7,0.04,25,0,0,0,0,0,0,8.3,1,0,0,0,0,0,0,7,6/28/2021,32
10,2,12.5,0.01,24,0,0,0,0,1,0,8.3,0.96,0,0,0,0,0.04,0,6.8,6/28/2021,14
