"","Occasion","Transect","Quadrat","Width","Depth","Velocity","BR","BO","CO","PE","GV","SD","SL","Time","per_BR","per_BO","per_CO","per_PE","per_GV","per_SD","per_SL","coarseness","Date","Count"
"1",1,1,1,5,3.5,0.2,0,0,0,25,0,0,0,24,0,0,0,1,0,0,0,4,"6/27/2021",6
"2",1,1,2,5,3,0.07,0,0,0,25,0,0,0,24,0,0,0,1,0,0,0,4,"6/27/2021",3
"3",1,1,3,5,2.5,0.02,0,0,0,17,0,0,8,24,0,0,0,0.68,0,0,0.32,3.04,"6/27/2021",11
"4",1,2,1,3.2,5,0.02,0,0,1,0,0,0,24,12.5,0,0,0.04,0,0,0,0.96,1.16,NA,0
"5",1,2,2,3.2,7,0.05,0,0,0,4,0,0,21,12.5,0,0,0,0.16,0,0,0.84,1.48,"6/27/2021",1
"6",1,2,3,3.2,14.5,0.06,0,0,0,0,0,0,25,12.5,0,0,0,0,0,0,1,1,"6/27/2021",3
"7",1,3,1,3.8,7,0.01,0,0,0,21,0,0,4,15,0,0,0,0.84,0,0,0.16,3.52,"6/27/2021",1
"8",1,3,2,3.8,14,0.11,0,0,0,18,0,7,0,15,0,0,0,0.72,0,0.28,0,3.44,"6/27/2021",4
"9",1,3,3,3.8,21,0.01,0,0,0,0,0,0,25,15,0,0,0,0,0,0,1,1,NA,0
"10",1,4,1,4.2,9,0.02,0,0,0,8,0,1,16,25,0,0,0,0.32,0,0.04,0.64,2,"6/27/2021",4
"11",1,4,2,4.2,12.5,0.06,0,0,10,15,0,0,0,25,0,0,0.4,0.6,0,0,0,4.4,"6/27/2021",6
"12",1,4,3,4.2,5,0,0,0,12,7,0,0,6,25,0,0,0.48,0.28,0,0,0.24,3.76,"6/27/2021",22
"13",1,5,1,3.2,18.5,0.02,2,5,4,6,0,8,0,18,0.08,0.2,0.16,0.24,0,0.32,0,4.16,"6/27/2021",1
"14",1,5,2,3.2,9,0.08,0,6,14,5,0,0,0,18,0,0.24,0.56,0.2,0,0,0,5.04,"6/27/2021",5
"15",1,5,3,3.2,7,0.23,0,0,20,5,0,0,0,18,0,0,0.8,0.2,0,0,0,4.8,"6/27/2021",11
"16",1,6,1,2.4,8.5,0.12,24,0,0,1,0,0,0,9,0.96,0,0,0.04,0,0,0,6.88,"6/27/2021",2
