Ocassion,Date,Transect,Width,Width_unit,Habitat_type,Quadrat,Count,Depth,Depth_unit,Velocity,Velocity_unit,BR,BO,CO,PE,GV,SD,SL,Algae,Absence,Time,Time_unit,Comments
1,6/27/2021,1,5,m,riffle,1,6,3.5,cm,0.2,m/s,0,0,0,25,0,0,0,0,25,24,minutes,
1,6/27/2021,1,5,m,riffle,2,4,3,cm,0.07,m/s,0,0,0,25,0,0,0,0,25,24,minutes,
1,6/27/2021,1,5,m,riffle,3,11,2.5,cm,0.02,m/s,0,0,0,17,0,0,8,0,25,24,minutes,
1,6/27/2021,2,3.2,m,run,1,0,5,cm,0.02,m/s,0,0,1,0,0,0,24,0,25,12.5,minutes,
1,6/27/2021,2,3.2,m,run,2,1,7,cm,0.05,m/s,0,0,0,4,0,0,21,0,25,12.5,minutes,
1,6/27/2021,2,3.2,m,run,3,3,14.5,cm,0.06,m/s,0,0,0,0,0,0,25,0,25,12.5,minutes,
1,6/27/2021,3,3.8,m,run,1,1,7,cm,0.01,m/s,0,0,0,21,0,0,4,0,25,15,minutes,
1,6/27/2021,3,3.8,m,run,2,4,14,cm,0.11,m/s,0,0,0,18,0,7,0,0,25,15,minutes,
1,6/27/2021,3,3.8,m,run,3,0,21,cm,0.01,m/s,0,0,0,0,0,0,25,0,25,15,minutes,
1,6/27/2021,4,4.2,m,run,1,4,9,cm,0.02,m/s,0,0,0,8,0,1,16,0,25,25,minutes,
1,6/27/2021,4,4.2,m,run,2,6,12.5,cm,0.06,m/s,0,0,10,15,0,0,0,0,25,25,minutes,
1,6/27/2021,4,4.2,m,run,3,22,5,cm,0,m/s,0,0,12,7,0,0,6,0,25,25,minutes,
1,6/27/2021,5,3.2,m,riffle,1,1,18.5,cm,0.02,m/s,2,5,4,6,0,8,0,0,25,18,minutes,
1,6/27/2021,5,3.2,m,riffle,2,5,9,cm,0.08,m/s,0,6,14,5,0,0,0,0,25,18,minutes,
1,6/27/2021,5,3.2,m,riffle,3,11,7,cm,0.23,m/s,0,0,20,5,0,0,0,0,25,18,minutes,
1,6/27/2021,6,2.4,m,riffle,1,2,8.5,cm,0.12,m/s,24,0,0,1,0,0,0,0,25,9,minutes,
1,6/27/2021,6,2.4,m,riffle,2,1,7.1,cm,0.09,m/s,9,0,10,5,0,1,0,0,25,9,minutes,
1,6/27/2021,6,2.4,m,riffle,3,0,10.5,cm,0,m/s,4,0,9,5,0,7,0,0,25,9,minutes,
1,6/27/2021,7,2.8,m,run,1,6,10.4,cm,0.1,m/s,18,0,4,1,0,2,0,0,25,14,minutes,
1,6/27/2021,7,2.8,m,run,2,4,7,cm,0.03,m/s,0,0,8,11,0,6,0,0,25,14,minutes,
1,6/27/2021,7,2.8,m,run,3,0,4,cm,0.05,m/s,0,0,10,10,0,5,0,0,25,14,minutes,
1,6/27/2021,8,2.2,m,run,1,3,6.5,cm,0.23,m/s,20,0,2,2,0,1,0,1,24,10,minutes,
1,6/27/2021,8,2.2,m,run,2,3,9.7,cm,0.06,m/s,0,0,12,12,0,1,0,0,25,10,minutes,
