Occasion,Date,Transect,Quadrat,Tag_ID,Shell_width,width_unit,Recap ,Comments
1,6/27/2021,1,1,y0001,8,mm,,diameter may be biasased in transects 1-7
1,6/27/2021,1,1,y0002,8,mm,,
1,6/27/2021,1,1,y0003,7,mm,,
1,6/27/2021,1,1,y0004,7,mm,,
1,6/27/2021,1,1,y0005,7,mm,,
1,6/27/2021,1,1,NA,6,mm,,
1,6/27/2021,1,2,y0006,7,mm,,
1,6/27/2021,1,2,y0007,7,mm,,
1,6/27/2021,1,2,y0008,7,mm,,
1,6/27/2021,1,3,y0010,7,mm,,
1,6/27/2021,1,3,y0012,8,mm,,
1,6/27/2021,1,3,y0009,7,mm,,
1,6/27/2021,1,3,y0013,8,mm,,
1,6/27/2021,1,3,y0011,7,mm,,
1,6/27/2021,1,3,y0014,7,mm,,
1,6/27/2021,1,3,y0015,7,mm,,
1,6/27/2021,1,3,y0016,7,mm,,
1,6/27/2021,1,3,y0017,7,mm,,
1,6/27/2021,1,3,NA,5,mm,,
1,6/27/2021,1,3,NA,5,mm,,
1,6/27/2021,2,2,y0018,7,mm,,
1,6/27/2021,2,3,y0019,8,mm,,
1,6/27/2021,2,3,y0020,8,mm,,
1,6/27/2021,2,3,NA,5,mm,,
1,6/27/2021,3,1,y0021,7,mm,,
1,6/27/2021,3,2,y0024,7,mm,,
1,6/27/2021,3,2,y0023,7,mm,,
1,6/27/2021,3,2,y0022,8,mm,,
1,6/27/2021,3,2,NA,5,mm,,
1,6/27/2021,4,1,y0026,7,mm,,
1,6/27/2021,4,1,y0028,10,mm,,
1,6/27/2021,4,1,y0030,8,mm,,
1,6/27/2021,4,1,y0033,9,mm,,
1,6/27/2021,4,2,y0034,6,mm,accidentally tagged,
1,6/27/2021,4,2,y0027,7,mm,,
1,6/27/2021,4,2,y0032,8,mm,,
1,6/27/2021,4,2,y0031,8,mm,,
1,6/27/2021,4,2,y0025,7,mm,,
1,6/27/2021,4,2,y0029,8,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,4,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,4,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,5,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,NA,6,mm,,
1,6/27/2021,4,3,y0039,8,mm,,
1,6/27/2021,4,3,y0037,11,mm,,
1,6/27/2021,4,3,y0035,8,mm,,
1,6/27/2021,4,3,y0036,9,mm,,
1,6/27/2021,4,3,y0038,7,mm,,
1,6/27/2021,5,1,y0040,10,mm,,
1,6/27/2021,5,2,y0046,9,mm,,
1,6/27/2021,5,2,NA,6,mm,,
1,6/27/2021,5,2,y0047,7,mm,,
1,6/27/2021,5,3,y0041,7,mm,,
1,6/27/2021,5,3,y0043,7,mm,,
1,6/27/2021,5,3,y0044,7,mm,,
1,6/27/2021,5,3,y0045,7,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,5,mm,,
1,6/27/2021,5,3,NA,5,mm,,
1,6/27/2021,5,3,NA,6,mm,,
1,6/27/2021,5,3,NA,5,mm,,
1,6/27/2021,5,2,y0048,9,mm,,
1,6/27/2021,5,2,y0049,8,mm,,
1,6/27/2021,6,1,y0050,7,mm,,
1,6/27/2021,6,1,NA,5,mm,,
1,6/27/2021,6,2,y0051,8,mm,,
1,6/27/2021,7,2,y0052,8,mm,,
1,6/27/2021,7,2,NA,5,mm,,
1,6/27/2021,7,2,NA,6,mm,,
1,6/27/2021,7,2,NA,6,mm,,
1,6/27/2021,7,1,y0057,7,mm,,
1,6/27/2021,7,1,y0055,10,mm,,
1,6/27/2021,7,1,y0054,8,mm,,
1,6/27/2021,7,1,y0056,7,mm,,
1,6/27/2021,7,1,y0053,10,mm,,
1,6/27/2021,7,1,NA,5,mm,,
1,6/27/2021,8,1,y0058,7,mm,,
1,6/27/2021,8,1,y0059,8,mm,,
1,6/27/2021,8,1,NA,6,mm,,
1,6/27/2021,8,3,y0062,7,mm,,
1,6/27/2021,8,3,y0064,8,mm,,
